time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,version,level_methodology,establishment_type,idaci_decile,ru11ind_pupil_residency,pupil_residency_detail,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps,t_inp8calc,t_p8score,avg_p8score,p8score_ci_low,p8score_ci_upp
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),30-40%,Total,Total,3708,58720,2625612.04,44.7,56386,96,24612,41.9,36517,62.2,22038,37.5,8818,15,12857,21.9,228679.22,3.89,55205,-4749.436,-0.09,-0.1,-0.07
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),30-40%,Urban,Total,3569,52263,2349113.91,44.9,50174,96,22215,42.5,32697,62.6,20171,38.6,8080,15.5,11755,22.5,205040.74,3.92,48970,-3286.474,-0.07,-0.08,-0.05
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),40-50%,Rural,Total,1251,8467,374323.75,44.2,8175,96.6,3433,40.5,5290,62.5,2742,32.4,1084,12.8,1625,19.2,32352.58,3.82,8183,-1038.075,-0.13,-0.16,-0.1
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),40-50%,Total,Total,3669,55361,2564632.03,46.3,53399,96.5,24927,45,36096,65.2,21579,39,9045,16.3,13062,23.6,224493.74,4.06,52133,-761.14,-0.01,-0.03,0
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),40-50%,Urban,Total,3506,46894,2190308.28,46.7,45224,96.4,21494,45.8,30806,65.7,18837,40.2,7961,17,11437,24.4,192141.16,4.1,43950,276.935,0.01,-0.01,0.02
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),50-60%,Rural,Total,1493,12350,574359.51,46.5,11942,96.7,5621,45.5,8246,66.8,4333,35.1,1906,15.4,2768,22.4,49965.53,4.05,11872,-151.222,-0.01,-0.04,0.01
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),50-60%,Total,Total,3587,52894,2529601.19,47.8,51204,96.8,25424,48.1,36349,68.7,21244,40.2,9579,18.1,13553,25.6,222142.42,4.2,49969,1964.517,0.04,0.03,0.05
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),50-60%,Urban,Total,3341,40544,1955241.68,48.2,39262,96.8,19803,48.8,28103,69.3,16911,41.7,7673,18.9,10785,26.6,172176.89,4.25,38097,2115.739,0.06,0.04,0.07
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),60-70%,Rural,Total,1627,14124,676389.75,47.9,13715,97.1,6754,47.8,9837,69.6,4997,35.4,2282,16.2,3226,22.8,58961.14,4.17,13551,499.914,0.04,0.01,0.06
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),60-70%,Total,Total,3503,51431,2536963.17,49.3,49938,97.1,26207,51,36745,71.4,20905,40.6,9891,19.2,13739,26.7,223152.7,4.34,48845,4537.684,0.09,0.08,0.11
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),60-70%,Urban,Total,3225,37307,1860573.42,49.9,36223,97.1,19453,52.1,26908,72.1,15908,42.6,7609,20.4,10513,28.2,164191.56,4.4,35294,4037.77,0.11,0.1,0.13
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),70-80%,Rural,Total,1618,14154,702776.25,49.7,13734,97,7308,51.6,10318,72.9,5580,39.4,2698,19.1,3763,26.6,61854.02,4.37,13585,1939.599,0.14,0.12,0.17
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),70-80%,Total,Total,3335,51175,2605774.58,50.9,49775,97.3,27820,54.4,38145,74.5,22038,43.1,10918,21.3,15102,29.5,230571.22,4.51,48757,8072.023,0.17,0.15,0.18
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),70-80%,Urban,Total,3056,37021,1902998.33,51.4,36041,97.4,20512,55.4,27827,75.2,16458,44.5,8220,22.2,11339,30.6,168717.2,4.56,35172,6132.424,0.17,0.16,0.19
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),80-90%,Rural,Total,1601,14457,739660.63,51.2,14086,97.4,7945,55,10909,75.5,5843,40.4,2998,20.7,4111,28.4,65124.8,4.5,13871,2718.166,0.2,0.17,0.22
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),80-90%,Total,Total,3125,50476,2657785.17,52.7,49285,97.6,29150,57.8,39192,77.6,22529,44.6,11797,23.4,16046,31.8,235755.87,4.67,48093,11623.207,0.24,0.23,0.25
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),80-90%,Urban,Total,2855,36019,1918124.54,53.3,35199,97.7,21205,58.9,28283,78.5,16686,46.3,8799,24.4,11935,33.1,170631.07,4.74,34222,8905.041,0.26,0.25,0.28
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),90-100%,Rural,Total,1284,11246,600019.52,53.4,10991,97.7,6671,59.3,8835,78.6,4978,44.3,2794,24.8,3758,33.4,53512.08,4.76,10660,3253.106,0.31,0.28,0.33
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),90-100%,Total,Total,2679,49802,2781367.72,55.8,48767,97.9,32046,64.3,40911,82.1,24647,49.5,14379,28.9,18797,37.7,249912.69,5.02,46831,18193.493,0.39,0.38,0.4
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),90-100%,Urban,Total,2437,38556,2181348.2,56.6,37776,98,25375,65.8,32076,83.2,19669,51,11585,30,15039,39,196400.61,5.09,36171,14940.387,0.41,0.4,0.43
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),Total,Rural,4 Rural - Town and fringe,2517,51821,2417117.02,46.6,50112,96.7,23637,45.6,34734,67,18094,34.9,8197,15.8,11720,22.6,210222.79,4.06,50023,-1544.075,-0.03,-0.04,-0.02
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),Total,Rural,5 Rural - Village,2165,28163,1372582.88,48.7,27357,97.1,14017,49.8,19880,70.6,10710,38,5081,18,7123,25.3,120415.86,4.28,26958,2727.224,0.1,0.08,0.12
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),Total,Rural,6 Rural - Hamlet and isolated dwellings,2011,16383,805729.64,49.2,15875,96.9,8255,50.4,11653,71.1,6247,38.1,3036,18.5,4239,25.9,70728.97,4.32,15463,1460.882,0.09,0.07,0.12
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),Total,Rural,Total,2926,96367,4595429.54,47.7,93344,96.9,45909,47.6,66267,68.8,35051,36.4,16314,16.9,23082,24,401367.62,4.16,92444,2644.031,0.03,0.02,0.04
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),Total,Total,Total,4046,602614,27981661.95,46.4,580119,96.3,274240,45.5,394035,65.4,237496,39.4,102930,17.1,146561,24.3,2450945.26,4.07,567877,-14693.009,-0.03,-0.03,-0.02
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),Total,Urban,1 Urban - Major conurbation,1870,222013,10521542.85,47.4,213683,96.2,105410,47.5,146713,66.1,101038,45.5,42961,19.4,60697,27.3,929883.04,4.19,206197,8556.597,0.04,0.04,0.05
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),Total,Urban,2 Urban - Minor conurbation,231,21295,944767.75,44.4,20476,96.2,8902,41.8,13281,62.4,7376,34.6,3007,14.1,4488,21.1,81609.47,3.83,20270,-1957.389,-0.1,-0.12,-0.08
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),Total,Urban,3 Urban - City and town,3254,262939,11919921.81,45.3,252616,96.1,114019,43.4,167774,63.8,94031,35.8,40648,15.5,58294,22.2,1038085.13,3.95,248966,-23936.248,-0.1,-0.1,-0.09
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),Total,Urban,Total,4031,506247,23386232.41,46.2,486775,96.2,228331,45.1,327768,64.7,202445,40,86616,17.1,123479,24.4,2049577.64,4.05,475433,-17337.04,-0.04,-0.04,-0.03
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),Unknown,Rural,Total,1048,6717,312818.25,46.6,6498,96.7,3027,45.1,4451,66.3,2450,36.5,1048,15.6,1501,22.3,27277.2,4.06,6342,-145.284,-0.02,-0.06,0.01
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),Unknown,Total,Total,3005,30940,1441405.13,46.6,29809,96.3,14076,45.5,20216,65.3,12595,40.7,5273,17,7597,24.6,126640.51,4.09,28614,609.009,0.02,0,0.04
202223,Academic year,National,E92000001,England,,,Revised,Pupil residency,State-funded schools (LA),Unknown,Urban,Total,2786,24223,1128586.88,46.6,23311,96.2,11049,45.6,15765,65.1,10145,41.9,4225,17.4,6096,25.2,99363.31,4.1,22272,754.293,0.03,0.02,0.05
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),0-10%,Rural,Total,75,559,22529,40.3,519,92.8,189,33.8,287,51.3,165,29.5,65,11.6,101,18.1,1899.91,3.4,542,-281.023,-0.52,-0.64,-0.4
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),0-10%,Total,Total,189,6970,261482.75,37.5,6517,93.5,1987,28.5,3388,48.6,2122,30.4,633,9.1,1020,14.6,22047.16,3.16,6664,-4476.391,-0.67,-0.71,-0.64
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),0-10%,Urban,Total,183,6411,238953.75,37.3,5998,93.6,1798,28,3101,48.4,1957,30.5,568,8.9,919,14.3,20147.25,3.14,6122,-4195.368,-0.69,-0.72,-0.65
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),10-20%,Rural,Total,72,575,23329.5,40.6,546,95,203,35.3,329,57.2,159,27.7,56,9.7,102,17.7,1941.83,3.38,557,-266.204,-0.48,-0.6,-0.36
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),10-20%,Total,Total,190,3547,144542.75,40.8,3352,94.5,1231,34.7,1974,55.7,1177,33.2,376,10.6,634,17.9,12294.17,3.47,3397,-1624.642,-0.48,-0.53,-0.43
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),10-20%,Urban,Total,179,2972,121213.25,40.8,2806,94.4,1028,34.6,1645,55.3,1018,34.3,320,10.8,532,17.9,10352.34,3.48,2840,-1358.438,-0.48,-0.53,-0.43
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),20-30%,Rural,Total,87,664,28461.25,42.9,625,94.1,246,37,386,58.1,204,30.7,83,12.5,131,19.7,2411.13,3.63,652,-182.275,-0.28,-0.39,-0.17
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),20-30%,Total,Total,184,2884,122407.75,42.4,2739,95,1071,37.1,1659,57.5,961,33.3,344,11.9,550,19.1,10428.93,3.62,2793,-1046.104,-0.37,-0.43,-0.32
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),20-30%,Urban,Total,179,2220,93946.5,42.3,2114,95.2,825,37.2,1273,57.3,757,34.1,261,11.8,419,18.9,8017.8,3.61,2141,-863.829,-0.4,-0.46,-0.34
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),30-40%,Rural,Total,78,461,20566.25,44.6,443,96.1,184,39.9,285,61.8,123,26.7,55,11.9,80,17.4,1720.86,3.73,451,-71.128,-0.16,-0.29,-0.03
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),30-40%,Total,Total,174,2301,101818.25,44.2,2208,96,922,40.1,1425,61.9,771,33.5,311,13.5,462,20.1,8669.16,3.77,2248,-569.035,-0.25,-0.31,-0.19
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),30-40%,Urban,Total,164,1840,81252,44.2,1765,95.9,738,40.1,1140,62,648,35.2,256,13.9,382,20.8,6948.3,3.78,1797,-497.907,-0.28,-0.34,-0.21
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),40-50%,Rural,Total,64,371,16653.5,44.9,357,96.2,152,41,234,63.1,97,26.1,40,10.8,60,16.2,1403.87,3.78,358,-28.582,-0.08,-0.23,0.07
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),40-50%,Total,Total,173,1861,84607.75,45.5,1795,96.5,792,42.6,1189,63.9,716,38.5,278,14.9,421,22.6,7291.22,3.92,1794,-304.571,-0.17,-0.24,-0.1
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),40-50%,Urban,Total,154,1490,67954.25,45.6,1438,96.5,640,43,955,64.1,619,41.5,238,16,361,24.2,5887.35,3.95,1436,-275.989,-0.19,-0.27,-0.12
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),50-60%,Rural,Total,69,460,22711.5,49.4,445,96.7,244,53,331,72,163,35.4,75,16.3,127,27.6,1967.48,4.28,447,25.779,0.06,-0.07,0.19
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),50-60%,Total,Total,165,1737,82676.75,47.6,1686,97.1,833,48,1200,69.1,661,38.1,274,15.8,443,25.5,7154.35,4.12,1696,-159.111,-0.09,-0.16,-0.03
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),50-60%,Urban,Total,144,1277,59965.25,47,1241,97.2,589,46.1,869,68.1,498,39,199,15.6,316,24.7,5186.87,4.06,1249,-184.89,-0.15,-0.23,-0.07
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),60-70%,Rural,Total,47,265,13482,50.9,258,97.4,141,53.2,195,73.6,76,28.7,47,17.7,57,21.5,1153.53,4.35,261,28.849,0.11,-0.06,0.28
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),60-70%,Total,Total,146,1491,75813.5,50.8,1453,97.5,815,54.7,1111,74.5,672,45.1,319,21.4,445,29.8,6653.64,4.46,1464,115.391,0.08,0.01,0.15
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),60-70%,Urban,Total,130,1226,62331.5,50.8,1195,97.5,674,55,916,74.7,596,48.6,272,22.2,388,31.6,5500.11,4.49,1203,86.542,0.07,-0.01,0.15
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),70-80%,Rural,Total,70,438,21637,49.4,422,96.3,239,54.6,330,75.3,185,42.2,91,20.8,135,30.8,1887.07,4.31,431,9.286,0.02,-0.11,0.16
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),70-80%,Total,Total,154,1644,84408,51.3,1599,97.3,928,56.4,1270,77.3,761,46.3,355,21.6,545,33.2,7432.95,4.52,1614,125.172,0.08,0.01,0.15
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),70-80%,Urban,Total,123,1206,62771,52,1177,97.6,689,57.1,940,77.9,576,47.8,264,21.9,410,34,5545.88,4.6,1183,115.886,0.1,0.02,0.18
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),80-90%,Rural,Total,73,491,26164.25,53.3,484,98.6,305,62.1,381,77.6,222,45.2,120,24.4,162,33,2289.89,4.66,482,36.865,0.08,-0.05,0.2
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),80-90%,Total,Total,154,2258,120289.25,53.3,2213,98,1342,59.4,1804,79.9,1050,46.5,532,23.6,741,32.8,10600.12,4.69,2222,319.809,0.14,0.09,0.2
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),80-90%,Urban,Total,141,1767,94125,53.3,1729,97.8,1037,58.7,1423,80.5,828,46.9,412,23.3,579,32.8,8310.23,4.7,1740,282.944,0.16,0.1,0.23
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),90-100%,Rural,Total,28,183,10047.75,54.9,178,97.3,111,60.7,147,80.3,85,46.4,53,29,66,36.1,893.79,4.88,177,44.274,0.25,0.04,0.46
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),90-100%,Total,Total,105,1678,94587,56.4,1643,97.9,1089,64.9,1415,84.3,837,49.9,491,29.3,648,38.6,8440.74,5.03,1637,565.157,0.35,0.28,0.41
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),90-100%,Urban,Total,96,1495,84539.25,56.5,1465,98,978,65.4,1268,84.8,752,50.3,438,29.3,582,38.9,7546.95,5.05,1460,520.883,0.36,0.28,0.43
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),Total,Rural,4 Rural - Town and fringe,146,3420,153410,44.9,3256,95.2,1476,43.2,2132,62.3,1100,32.2,499,14.6,753,22,13078.11,3.82,3337,-704.984,-0.21,-0.26,-0.16
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),Total,Rural,5 Rural - Village,116,876,42678.25,48.7,854,97.5,429,49,618,70.5,315,36,156,17.8,214,24.4,3663.39,4.18,852,-19.225,-0.02,-0.12,0.07
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),Total,Rural,6 Rural - Hamlet and isolated dwellings,93,493,24667.25,50,478,97,258,52.3,360,73,168,34.1,83,16.8,118,23.9,2125.01,4.31,481,14.163,0.03,-0.1,0.16
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),Total,Rural,Total,174,4789,220755.5,46.1,4588,95.8,2163,45.2,3110,64.9,1583,33.1,738,15.4,1085,22.7,18866.51,3.94,4670,-710.046,-0.15,-0.19,-0.11
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),Total,Total,Total,206,27748,1236052.5,44.5,26527,95.6,11640,41.9,17334,62.5,10252,36.9,4136,14.9,6228,22.4,106469.76,3.84,26853,-7221.924,-0.27,-0.29,-0.25
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),Total,Urban,1 Urban - Major conurbation,120,11611,516708,44.5,11088,95.5,4789,41.2,7191,61.9,4628,39.9,1789,15.4,2683,23.1,44887.43,3.87,11193,-3445.967,-0.31,-0.33,-0.28
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),Total,Urban,3 Urban - City and town,169,11348,498589,43.9,10851,95.6,4688,41.3,7033,62,4041,35.6,1609,14.2,2460,21.7,42715.82,3.76,10990,-3065.911,-0.28,-0.31,-0.25
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),Total,Urban,Total,199,22959,1015297,44.2,21939,95.6,9477,41.3,14224,62,8669,37.8,3398,14.8,5143,22.4,87603.25,3.82,22183,-6511.878,-0.29,-0.31,-0.27
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),Unknown,Rural,Total,52,322,15173.5,47.1,311,96.6,149,46.3,205,63.7,104,32.3,53,16.5,64,19.9,1297.15,4.03,312,-25.887,-0.08,-0.24,0.07
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),Unknown,Total,Total,150,1377,63418.75,46.1,1322,96,630,45.8,899,65.3,524,38.1,223,16.2,319,23.2,5457.32,3.96,1324,-167.599,-0.13,-0.2,-0.05
202223,Academic year,Regional,E92000001,England,E12000001,North East,Revised,Pupil residency,State-funded schools (LA),Unknown,Urban,Total,136,1055,48245.25,45.7,1011,95.8,481,45.6,694,65.8,420,39.8,170,16.1,255,24.2,4160.17,3.94,1012,-141.712,-0.14,-0.23,-0.05
202223,Academic year,Regional,E92000001,England,E12000002,North West,Revised,Pupil residency,State-funded schools (LA),0-10%,Rural,Total,30,111,3864.75,34.8,106,95.5,27,24.3,46,41.4,20,18,9,8.1,11,9.9,324.2,2.92,108,-114.36,-1.06,-1.33,-0.79
202223,Academic year,Regional,E92000001,England,E12000002,North West,Revised,Pupil residency,State-funded schools (LA),0-10%,Total,Total,513,16709,618516.13,37,15652,93.7,4615,27.6,7780,46.6,5051,30.2,1401,8.4,2303,13.8,52367.34,3.13,15615,-9454.844,-0.61,-0.63,-0.58
202223,Academic year,Regional,E92000001,England,E12000002,North West,Revised,Pupil residency,State-funded schools (LA),0-10%,Urban,Total,511,16598,614651.38,37,15546,93.7,4588,27.6,7734,46.6,5031,30.3,1392,8.4,2292,13.8,52043.14,3.14,15507,-9340.484,-0.6,-0.62,-0.58
202223,Academic year,Regional,E92000001,England,E12000002,North West,Revised,Pupil residency,State-funded schools (LA),10-20%,Rural,Total,29,108,3909.5,36.2,102,94.4,29,26.9,48,44.4,42,38.9,8,7.4,14,13,337.02,3.12,108,-77.591,-0.72,-0.99,-0.45
202223,Academic year,Regional,E92000001,England,E12000002,North West,Revised,Pupil residency,State-funded schools (LA),10-20%,Total,Total,531,11232,451876.88,40.2,10680,95.1,3740,33.3,6008,53.5,3756,33.4,1171,10.4,1861,16.6,38707.42,3.45,10425,-3743.535,-0.36,-0.39,-0.33
202223,Academic year,Regional,E92000001,England,E12000002,North West,Revised,Pupil residency,State-funded schools (LA),10-20%,Urban,Total,530,11124,447967.38,40.3,10578,95.1,3711,33.4,5960,53.6,3714,33.4,1163,10.5,1847,16.6,38370.4,3.45,10317,-3665.944,-0.36,-0.38,-0.33
202223,Academic year,Regional,E92000001,England,E12000002,North West,Revised,Pupil residency,State-funded schools (LA),20-30%,Rural,Total,57,281,10780.25,38.4,266,94.7,81,28.8,155,55.2,70,24.9,14,5,26,9.3,922.91,3.28,275,-188.682,-0.69,-0.85,-0.52
202223,Academic year,Regional,E92000001,England,E12000002,North West,Revised,Pupil residency,State-funded schools (LA),20-30%,Total,Total,529,7924,332384.01,41.9,7593,95.8,2834,35.8,4568,57.6,2644,33.4,885,11.2,1346,17,28534.24,3.6,7427,-1999.729,-0.27,-0.3,-0.24
202223,Academic year,Regional,E92000001,England,E12000002,North West,Revised,Pupil residency,State-funded schools (LA),20-30%,Urban,Total,519,7643,321603.76,42.1,7327,95.9,2753,36,4413,57.7,2574,33.7,871,11.4,1320,17.3,27611.33,3.61,7152,-1811.047,-0.25,-0.29,-0.22
202223,Academic year,Regional,E92000001,England,E12000002,North West,Revised,Pupil residency,State-funded schools (LA),30-40%,Rural,Total,83,464,19026.75,41,446,96.1,150,32.3,267,57.5,94,20.3,35,7.5,43,9.3,1613.74,3.48,455,-230.425,-0.51,-0.64,-0.38
202223,Academic year,Regional,E92000001,England,E12000002,North West,Revised,Pupil residency,State-funded schools (LA),30-40%,Total,Total,538,7176,309456.38,43.1,6916,96.4,2761,38.5,4295,59.9,2634,36.7,895,12.5,1353,18.9,26718.28,3.72,6834,-1875.586,-0.27,-0.31,-0.24
202223,Academic year,Regional,E92000001,England,E12000002,North West,Revised,Pupil residency,State-funded schools (LA),30-40%,Urban,Total,521,6712,290429.63,43.3,6470,96.4,2611,38.9,4028,60,2540,37.8,860,12.8,1310,19.5,25104.54,3.74,6379,-1645.161,-0.26,-0.29,-0.22
